Number,Name
v2044b,PreAdmin.44b. Type political sign 2
v2045x,PreAdmin.45x. Summary: any specified impediment noted
v2045a,PreAdmin.45a. Structure impediment - locked entrance
v2045b,PreAdmin.45b. Structure impediment - locked gates
v2045c,PreAdmin.45c. Structure impediment - gatekeeper
v2045d,PreAdmin.45d. Structure impediment - intercom
v2046x,PreAdmin.46x. Summary: any specified security measure
v2046a,PreAdmin.46a. Structure security - bars
v2046b,PreAdmin.46b. Structure security - crime watch/sec system
v2046c,PreAdmin.46c. Structure security - no trespassing sign
v2046d,PreAdmin.46d. Structure security - security door
v2046e,PreAdmin.46e. Structure security - guard dogs
v2047,PreAdmin.47. Gatekeeper present
v2047a,PreAdmin.47a. Type gatekeeper
v2048a,PreAdmin.48a. Summary: gatekeeper status
v2048b,PreAdmin.48b. Summary: locked status
v2101,PreIwr.1. Interviewer of record ID
v2101a,PreIwr.1a. Other interviewer ID
v2102,PreIwr.2. Supervisor ID
v2103,PreIwr.3. Interviewer gender
v2104,PreIwr.4. Interviewer education level
v2105,PreIwr.5. Interviewer race
v2106,PreIwr.6. Interviewer ethnicity
v2107,PreIwr.7. Interviewer languages
v2108,PreIwr.8. Interviewer experience
v2109,PreIwr.9. Interviewer age group
v2201,PreErr.1. Pre interview error flag
v2202,PreErr.2. Pre interview error flag
v2401,PreRand.1. Random order Pres cands A3-A6 Likes-Dislikes
v2402,PreRand.2. Random order Pres cands B1b-B1c thermometers
v2403a,PreRand.3a. Random order B1d Cheney thermometer
v2403b,PreRand.3b. Random order B1e John Edwards thermometer
v2403c,PreRand.3c. Random order B1f Laura Bush thermometer
v2403d,PreRand.3d. Random order B1g Hillary Clinton thermometer
v2403e,PreRand.3e. Random order B1h Bill Clinton thermometer
v2403f,PreRand.3f. Random order B1j Colin Powell thermometer
v2403g,PreRand.3g. Random order B1k John Ashcroft thermometer
v2403h,PreRand.3h. Random order B1m John McCain thermometer
v2404,PreRand.4. Random order parties B1n-B1p thermometers
v2405,PreRand.5. Random order parties C1-C2 Likes-Dislikes
v2406,PreRand.6. Random order Pres cands D1-D2 affects
v2407a,PreRand.7a. Random order D1a Bush angry affect
v2407b,PreRand.7b. Random order D1b Bush hopeful affect
v2407c,PreRand.7c. Random order D1c Bush afraid affect
v2407d,PreRand.7d. Random order D1d Bush proud affect
v2408a,PreRand.8a. Random order D2a Kerry angry affect
v2408b,PreRand.8b. Random order D2b Kerry hopeful affect
v2408c,PreRand.8c. Random order D2c Kerry afraid affect
v2408d,PreRand.8d. Random order D2d Kerry proud affect
v2409,PreRand.9. Random order Pres cand E3-E4 liberal-conservative
v2410,PreRand.10. Random order parties E5-E6 liberal-conservative
v2411,PreRand.11. Random order F3-F6 unemployment or inflation
v2412,PreRand.12. Random order names G1-G3 party performance
v2413,PreRand.13. Random order Pres cands K1-K2 traits
v2414a,PreRand.14a. Random order K1a Bush moral trait
v2414b,PreRand.14b. Random order K1b Bush leadership trait
v2414c,PreRand.14c. Random order K1c Bush cares trait
v2414d,PreRand.14d. Random order K1d Bush knowledgeable trait
v2414e,PreRand.14e. Random order K1e Bush intelligent trait
v2414f,PreRand.14f. Random order K1f Bush dishonest trait
v2414g,PreRand.14g. Random order K1g Bush make up mind trait
v2415a,PreRand.15a. Random order K1a Kerry moral trait
v2415b,PreRand.15b. Random order K1b Kerry leadership trait
v2415c,PreRand.15c. Random order K1c Kerry cares trait
v2415d,PreRand.15d. Random order K1d Kerry knowledgeable trait
v2415e,PreRand.15e. Random order K1e Kerry intelligent trait
v2415f,PreRand.15f. Random order K1f Kerry dishonest trait
v2415g,PreRand.15g. Random order K1g Kerry make up mind trait
v2416,PreRand.16. Random order Pres cands N1b-c spending-services
v2417,PreRand.17. Random order parties N1d-e spending-services
v2418,PreRand.18. Random order Pres cands N2b-c defense spending
v2419,PreRand.19. Random order parties N2d-e defense spending
v2420,PreRand.20. Random order Pres cands N5b-c guaranteed jobs
v2421,PreRand.21. Random order parties N5d-e guaranteed jobs
v2422,PreRand.22. Random order Pres cands N6b-c aid to blacks
v2423,PreRand.23. Random order parties N6d-e aid to blacks
v2424a,PreRand.24a. Random order P1b Social Security Fed. spending
v2424b,PreRand.24b. Random order P1c public schools Fed. spending
v2424c,PreRand.24c. Random order P1d science/tech Fed. spending
v2424d,PreRand.24d. Random order P1e prevent crime Fed. spending
v2424e,PreRand.24e. Random order P1f welfare Fed. spending
v2424f,PreRand.24f. Random order P1g child care Fed. spending
v2424g,PreRand.24g. Random order P1h foreign aid Fed. spending
v2424h,PreRand.24h. Random order P1j aid to poor Fed. spending
v2424j,PreRand.24j. Random order P1k illegal immigr Fed. spending
v2424k,PreRand.24k. Random order P1m war on terror Fed. spending
v2425,PreRand.25. Random order Pres cands P3b-c environment/jobs
v2426,PreRand.26. Random order Pres cands P5b-c gun control
v2427,PreRand.27. Random order Pres cands P6b-c women's role
v2428,PreRand.28. Random order parties P6d-e women's role
v3001,A1. Interested in following campaigns?
v3002,A1a. Did R vote 2000?
v3003,A1a1. Recall of last President vote choice
v3004,A2. Was 2000 Pres election fair or unfair
v3005,A2a. How strongly feels 2000 Pres election was fair/unfair
v3006,A3a. Is there anything R likes about GW Bush
v3007,A3b. Summary: No. Mentions - Likes About GW Bush
v3007a,A3b1. What does R like about GW Bush MENTION 1
v3007b,A3b2. What does R like about GW Bush MENTION 2
v3007c,A3b3. What does R like about GW Bush MENTION 3
v3007d,A3b4. What does R like about GW Bush MENTION 4
v3007e,A3b5. What does R like about GW Bush MENTION 5
v3008,A4a. Is there anything R dislikes about GW Bush
v3009,A4b. Summary: No. Mentions - Dislikes About GW Bush
v3009a,A4b1. What does R dislike about GW Bush MENTION 1
v3009b,A4b2. What does R dislike about GW Bush MENTION 2
v3009c,A4b3. What does R dislike about GW Bush MENTION 3
v3009d,A4b4. What does R dislike about GW Bush MENTION 4
v3009e,A4b5. What does R dislike about GW Bush MENTION 5
v3010,A5a. Is there anything R likes about Kerry
v3011,A5b. Summary: No. Mentions - Likes About John Kerry
v3011a,A5b1. What does R like about John Kerry MENTION 1
v3011b,A5b2. What does R like about John Kerry MENTION 2
v3011c,A5b3. What does R like about John Kerry MENTION 3
v3011d,A5b4. What does R like about John Kerry MENTION 4
v3011e,A5b5. What does R like about John Kerry MENTION 5
v3012,A6a. Is there anything R dislikes about Kerry
v3013,A6b. Summary: No. Mentions - Dislikes About John Kerry
v3013a,A6b1. What does R dislike about John Kerry MENTION 1
v3013b,A6b2. What does R dislike about John Kerry MENTION 2
v3013c,A6b3. What does R dislike about John Kerry MENTION 3
v3013d,A6b4. What does R dislike about John Kerry MENTION 4
v3013e,A6b5. What does R dislike about John Kerry MENTION 5
v3014,A7. Days past week watch natl news on TV
v3015,A7a. Attention to national (network) news
v3016,A8a. Days past week watch local TV news late aft/early eve
v3017,A8b. Days past week watch local news on TV in the late eve
v3018,A8c. Attention to local news
v3019,A9. How many days past week read a daily newspaper?
v3020,A9(1). How many days past week read a daily online newsp
v3021,A9a. Did R read about campaign in newspaper?
v3022,A9a1. Attention to newspaper articles
v3023,A10. Are things in the country on right track
v3024,A10a. Presidential approval: general job handling
v3025,A10a1. Presidential approval: general job handling strength
v3026,A10b. Approval of Presidents handling of economy
v3027,A10b1. Strength approve/disappr President handling of econ
v3028,A10c. Approval of President handling foreign relations
v3029,A10c1. Strength approve/disappr Pres handling foreign rel
v3030,A10d. Approve Bush handling budget deficit
v3031,A10d1. Strength approve/disappr Bush handling budget defct
v3032,A10e. Approve Bush handling war on terror
v3033,A10e1. Strength approve/disappr Bush handling war on terr
v3034,A11. Are things in the country on right track
v3034x,A11x. SUMMARY: A10/A11 country on right track
v3035,A12. Care who wins House election
v3036,A13. Approval of Congress handling its job
v3037,A13a. Strength appr/disapprove Congress handling its job
v3038,B1a. Feeling Thermometer: GW Bush
v3039,B1b. Feeling Thermometer: John Kerry
v3040,B1c. Feeling Thermometer: Nader
v3041,B1d. Feeling Thermometer: Cheney
v3042,B1e. Feeling Thermometer: John Edwards
v3043,B1f. Feeling Thermometer: Laura Bush
v3044,B1g. Feeling Thermometer: Hillary Clinton
v3045,B1h. Feeling Thermometer: Bill Clinton
v3046,B1j. Feeling Thermometer: Colin Powell
v3047,B1k. Feeling Thermometer: John Ashcroft
v3048,B1m. Feeling Thermometer: John McCain
v3049,B1n. Feeling Thermometer: Democratic party
v3050,B1p. Feeling Thermometer: Republican party
v3051,B1q. Feeling Thermometer: Ronald Reagan
v3052,C1a. Is there anything R likes about Democratic Party
v3053,C1b. Summary: No. Mentions - Likes About Democratic Party
v3053a,C1b1. What does R like about Democratic Party MENTION 1
v3053b,C1b2. What does R like about Democratic Party MENTION 2
v3053c,C1b3. What does R like about Democratic Party MENTION 3
v3053d,C1b4. What does R like about Democratic Party MENTION 4
v3053e,C1b5. What does R like about Democratic Party MENTION 5
