Number,Name
CASEID,ANES 2012 Time Series Case ID
VERSION,ANES 2012 Time Series Release Version
WEIGHT_FULL,"ANES 2012 Time Series Post-stratified weight for full sample, preliminary release"
WEIGHT_FTF,"ANES 2012 Time Series Post-stratified weight for face-to-face cases, preliminary release"
WEIGHT_WEB,"ANES 2012 Time Series Post-stratified weight for web cases, preliminary release"
MODE,ANES 2012 Time Series Mode
STRATA_FULL,ANES 2012 Time Series sample strata for full sample
STRATA_FTF,ANES 2012 Time Series sample strata for FTF sample component
SAMPLE_PSU,Revised PSU Code
SAMPLE_FTFPSU,SAMPLE - PSU for FTF cases
SAMPLE_STATE,SAMPLE- State of Respondent address
STATE_FIPS,State FIPS Code - Recoded from SAMPLE_STATE
SAMPLE_DISTRICT,SAMPLE - U.S. Congr district of Respondent address (113th U.S. Congress)
FTF_OVERSAMPLE,ANES 2012 Time Series FTF Oversample Case
GEND_GENDOBS,PRE: FTF ONLY: INTERVIEWER: Is R male or female (Observation)
GENDER_RESPONDENT,SUMMARY: Gender of Respondent for both FTF and Web modes
INTEREST_ATTENTION,PRE: How often does R pay attn to politics and elections
INTEREST_FOLLOWING,PRE: Interested in following campaigns standard
INTEREST_WHEREVOTE,PRE: Does R know where to go to vote in neighborhood
INTEREST_VOTED2008,PRE: Did R vote for President in 2008
INTEREST_WHOVOTE2008,PRE: Recall of last (2008) Presidential vote choice
INTEREST_WHOVOTE2008_OTHTXT,PRE: Other Specify- Recall of last (2008) Presidential vote choice
PRMEDIA_USEINET,PRE: FTF ONLY: HH Internet use
PRMEDIA_WKINEWS,PRE: Days in typical week review news on internet
PRMEDIA_ATINEWS,PRE: Attention to internet news
PRMEDIA_WKTVNWS,PRE: Days in typical week watch news on TV
PRMEDIA_ATTVNEWS,PRE: Attention to TV news
PRMEDIA_WKPAPRNWS,PRE: Days in typical wk read news in print newspaper
PRMEDIA_ATPPRNEWS,PRE: Attention to printed newspaper news
PRMEDIA_WKRDNWS,PRE: Days in typical week listen news on radio
PRMEDIA_ATRDNEWS,PRE: Attention to radio news
PREVOTE_REGIST_ADDR,PRE: R registered to vote (pre-election)- sample address
PREVOTE_REGIST_NOADDR,PRE: WEB ONLY: R registered to vote (pre-election)- no sample address
PREVOTE_REG,PRE: FTF ONLY: Other Registr. location- city and state identifiable
PREVOTE_REG_RECORDSTATE,PRE: FTF ONLY: Oth Registr. location - state recorded in correct field
PREVOTE_REG_RECORDCITY,PRE: FTF ONLY: Oth Registr. location - city recorded in correct field
PREVOTE_REG_STATE,PRE: FTF ONLY: Other Registr. location - state of registr. (FIPS CODE)
PREVOTE_REG_SAMESTATE,PRE: FTF ONLY: Oth Reg. location - state same as hsehold's state (Y/N)
PREVOTE_REGINCNTY,PRE: Is R registered to vote in preload county (resid)
PREVOTE_REGYRS3CAT,PRE: How long has R been registered at location
PREVOTE_REGNAME,PRE: Name under which R registered to vote- was name given
PREVOTE_REGPTY_STATE,PRE: Does recorded state of registration have party registration
PREVOTE_REGPTY,PRE: Party of registration (also asked if state not recorded correctly)
PREVOTE_REGPTY_OTH,PRE: RESTRICTED: Other specify- Party of registration
PREVOTE_REGINT,PRE: Does R intend to register to vote
PREVOTE_PRIMV,PRE: Did R vote in the Presidential primary or caucus
PREVOTE_PRIMVWHO,PRE: For which candidate did R vote in Presidential prim
PREVOTE_PRIMVWHO_OTHTXT,PRE: Oth specify- For which candidate did R vote in Presidential prim
PREVOTE_VOTED,PRE: Already voted in General Election
PREVOTE_VCONF,PRE: Confirmation voted (early) in November 6 election
PREVOTE_HOWVOTE,PRE: In what manner did R vote
PREVOTE_CKBCARD,PRE: Is Pre Ballot Card correct (IF FTF: IWR CHECKPOINT)
PREVOTE_BALLOT_COLOR,PRE: FTF ONLY: Assigned color for Ballot Card (if displayed)
PREVOTE_PRESVT,PRE: Did R vote for President
PREVOTE_PRESVTWHO,PRE: For whom did R vote for President
PREVOTE_PRESVTWHO_OTHTXT,PRE: Other specify- For whom did R vote for President
